11798	12468	11997	15084
2166	13105	12080	13446
14437	15040	12270	16059
1714	13964	13119	14333
2370	12794	12407	13247
12166	12970	10451	13131
11868	13367	1475	13831
15222	15760	13906	16223
12174	1601	13280	13419
11998	11675	14035	16166
3298	12532	12272	14443
2542	12703	12527	14554
12513	13369	2522	13709
12159	15042	11713	15498
12137	12709	11654	13060
12327	14077	13218	15018
10106	14073	12682	15082
11652	12221	11967	12802
12613	13739	11934	13885
12045	15222	13906	16223
6301	12445	990	13416
12571	12965	3513	14146
10140	13710	12644	15840
12083	12148	11786	14318
13702	15884	13090	16010
12737	12942	3852	13246
11597	12295	12222	13345
12367	12562	11537	14770
12510	13452	4173	14125
4179	4173	13452	14125
11752	11939	12782	13013
10705	11894	13364	13669
12267	14801	11881	15795
11961	9726	14568	15980
3513	14146	12965	14756
11766	15884	13702	16010
9513	13836	12366	15199
11848	15760	15222	16223
1985	12724	13392	13502
12267	11881	14989	15795
9726	11961	13380	15980
11704	11982	13485	15353
11507	12038	12974	13464
11701	12709	12137	13060
4179	14125	13452	14814
12407	12839	2105	16219
12327	13218	5819	15018
10507	12253	10478	13054
4595	13935	12304	15799
9513	12955	12366	13836
11998	14035	11675	16190
11097	11029	11224	12653
11675	13980	12070	16166
11798	11997	12468	13758
11502	12552	12008	13156
6074	13528	12085	15939
13128	14179	10088	14537
6871	12400	6465	14985
5968	13218	14077	15018
11636	11924	12631	13960
11982	12785	11704	13485
2231	13243	12045	13906
12839	15161	2105	16219
5636	12994	15179	15335
12407	12794	2370	14466
3773	13134	12238	14468
7137	12139	7391	15159
13739	13885	12613	16536
10705	11894	10596	13364
5636	5861	12994	15335
12411	12570	8781	16406
3478	13134	3773	14468
11984	13045	13972	15730
10479	13209	12221	14986
3387	14522	12740	14716
12453	12631	11924	13960
1985	1743	12724	13502
12256	13189	4016	14625
12083	14318	11786	16230
11984	13045	12573	13972
12644	13710	12018	15840
3652	14144	14339	14970
2001	13436	11974	13761
11426	12118	12957	12958
2383	12501	12491	14457
1947	13105	2166	13446
12527	12703	2542	15773
4753	12016	12478	13743
11488	12085	5703	13528
12517	12176	15104	16151
2575	2230	2401	13571
12327	7725	13526	13665
11967	13077	12149	13519
4167	12610	14167	15614
12038	11507	12974	14726
12270	15040	14437	16644
3478	3275	13134	14468
1807	13243	2231	13906
12084	12425	11774	15996
11514	12511	11934	13192
12589	12734	8896	16571
13379	13573	7926	15007
12456	12566	11638	15677
11638	12566	12456	15736
11592	12076	12831	16379
12201	12202	11757	12772
8931	12091	8783	12973
1313	12796	1052	15363
12292	13060	10747	14174
12247	13869	12813	14182
11699	12188	12185	12742
13530	13877	8148	14449
2769	13111	12645	14569
12375	13016	10463	16395
680	5706	12698	13235
3859	13134	13621	13880
12796	15190	1052	15363
12267	14989	14801	15795
